収容局,ケーブル名,緯度,経度,備考
石山東,Eケーブル,37.9102733,139.1151932,とう道
石山東,Eケーブル,37.90904659,139.1146633,西線_1
石山東,Eケーブル,37.90750914,139.1117668,西線_4
石山東,Eケーブル,37.90601321,139.1090444,西線_6
石山東,Eケーブル,37.90521174,139.1076758,西線_7
石山東,Eケーブル,37.90402428,139.1086778,団地線_1
石山東,Eケーブル,37.90311525,139.1094211,団地線_2
石山東,Eケーブル,37.9040737,139.1112685,団地線_4
石山東,Eケーブル,37.90408719,139.1112287,石山団支_16
石山東,Eケーブル,37.90325241,139.1096902,石山団支_11
石山東,Eケーブル,37.90311525,139.1094211,団地線_2
石山東,Eケーブル,37.90184667,139.107065,粟山線_1
石山東,Eケーブル,37.90089961,139.1052801,粟山線_2
石山東,Eケーブル,37.90018345,139.1038238,粟山線_3
石山東,Eケーブル,37.89951645,139.1022449,粟山線_4
石山東,Eケーブル,37.89938985,139.1022482,粟山幹_1
石山東,Eケーブル,37.90081511,139.1053508,中野橋支_9R4L1
